"Date","Content"
"2022-12-01T08:00:00.000Z","FASHION:<br/>INTERVIEW mag?s last issue of the year. Cover with <a href=""https://www.instagram.com/p/Clyq1tlqoCF/?hl=en"" target=""_blank"">EMMA CORRIN</a> styled by friend of Food, HARRY LAMBERT. <a href=""https://drive.google.com/drive/folders/1dz2sV6O-lD-ZU_-Q79kUaedGBroCS6hp?usp=share_link"" target=""_blank"">Gonna</a> <a href=""https://drive.google.com/drive/folders/1dz2sV6O-lD-ZU_-Q79kUaedGBroCS6hp?usp=share_link"" target=""_blank"">miss</a> <a href=""https://drive.google.com/drive/folders/1dz2sV6O-lD-ZU_-Q79kUaedGBroCS6hp?usp=share_link"" target=""_blank"">these</a> <a href=""https://drive.google.com/drive/folders/1dz2sV6O-lD-ZU_-Q79kUaedGBroCS6hp?usp=share_link"" target=""_blank"">headlines</a> <a href=""https://drive.google.com/drive/folders/1dz2sV6O-lD-ZU_-Q79kUaedGBroCS6hp?usp=share_link"" target=""_blank"">when they</a> <a href=""https://drive.google.com/drive/folders/1dz2sV6O-lD-ZU_-Q79kUaedGBroCS6hp?usp=share_link"" target=""_blank"">go</a>, but THEY?RE GOING next year. REBOOT REBOOT."
"2022-12-01T08:00:00.000Z","<a href=""https://media.giphy.com/media/SWVF41fAxIrwIyUr8b/giphy.gif"" target=""_blank"">COLLATERAL</a>:<br/>ECHO made a <a href=""https://www.1413magazine.com/product-page/ee"" target=""_blank"">calendar</a> for 2023. <a href=""https://media.giphy.com/media/SWVF41fAxIrwIyUr8b/giphy.gif"" target=""_blank"">BUY IT. BUY IT</a>."
"2022-12-01T08:00:00.000Z","MEDIA:<br/>RICHARD recorded an episode of <a href=""https://graphicsupportgroup.com/podcast"" target=""_blank"">GRAPHIC DESIGN SUPPORT GROUP</a> whilst eating a lovely <a href=""https://www.cocoronandgoemon.com/"" target=""_blank"">Cocoran</a> noodle dish throughout. The Mera Mera one, you know? Think it?s going out next year (the podcast not the noodles, they?re forever)."
"2022-12-01T08:00:00.000Z","MEDIA:<br/>CLOWN TOWN. MAX PAIN. EVERYTHING IS A SCAM. HOT SAUCE. <a href=""https://nemesis.global/memos/max-pain-a-recent-history"" target=""_blank"">FOOD x NEMESIS</a>"
"2022-12-01T08:00:00.000Z","<a href=""https://media.giphy.com/media/WoWm8YzFQJg5i/giphy.gif"" target=""_blank"">LIT</a>:<br/>We?re going to be designing the highly esteemed <a href=""https://heavytrafficmagazine.com"" target=""_blank"">HEAVY TRAFFIC</a> magazine, edited by <a href=""https://www.instagram.com/ptrkmgrw/"" target=""_blank"">PATRICK MCGRAW</a>. When I say ?going to be?, we?re doing it right now. Like, now. When I?ve finished doing this fucking thing."
"2022-12-01T08:00:00.000Z","<a href=""https://media.giphy.com/media/1flDN5zh4eKPUwQn2D/giphy.gif"" target=""_blank"">DESIGN</a>:<br/>RUBY and RICHARD finished part one of the MANA branding project. All a bit hush hush but <a href=""https://ustoday.news/novendstern-co-founder-of-worldcoin-is-leaving-to-start-a-new-company/"" target=""_blank"">this thing</a>. Launching next year. Probably shouldn?t even be writing about it but no one reads this, right?"
"2022-12-01T08:00:00.000Z","PRESS &amp;amp; PR:<br/>More podcasts. Richard spoke to GRAPHIC DESIGN TITAN <a href=""https://www.instagram.com/jopvanbennekom/?hl=en"" target=""_blank"">JOPP VAN BENNEKOM</a> for the <a href=""https://internationalmagazinecentre.com/creative-heroes-3-richard-turley-interviews-jop-van-bennekom/"" target=""_blank"">DESIGN HEROES</a> series, about magazines, design, life, kerning etc etc. Meandering unedited version here."
"2022-12-01T08:00:00.000Z","OPEN STUDIOS:<br/>Food NY has been doing these since September. These sessions have also been called ?Work Therapy?. If you want to come and talk, unload. There?s that Buddhist thing that the best therapy for you is listening to others, so it helps us too ? really. Email if interested."
"2022-12-01T08:00:00.000Z","FASHION:<br/>ECHO made<a href=""https://www.instagram.com/stories/highlights/17926527428540633/"" target=""_blank""> packages</a> for the new season of <a href=""https://www.instagram.com/grape_official/"" target=""_blank"">Grape</a>, also a <a href=""https://www.instagram.com/p/ChmawnBPUie/"" target=""_blank"">shoe</a> that is readable and a <a href=""https://www.ssense.com/en-us/women/product/grape/white-flattenable-shoulder-bag/11811221"" target=""_blank"">bag</a> that is foldable."
"2022-12-01T08:00:00.000Z","<a href=""https://media.giphy.com/media/WspL0mgECSKQOK6tTf/giphy.gif"" target=""_blank"">PRESS &amp;amp; PR</a>:<br/>NICK hosted the <a href=""https://winners.lovieawards.com/"" target=""_blank"">2022 Lovie Awards</a>, celebrating the very best of the European internets. JAAP HAARTSEN won Lifetime Achievement Award for his role in creating Bluetooth and EDWARD ENNIFUL was awarded Lovie Person of the Year. Wish I created Bluetooth, prolly wouldn?t be spending my time writing this thing."
